id,parent_id,name,slug,description,sort,logo_type,logo_upload,logo_link,banner_type,banner_upload,banner_link,status,is_map_enable,url,meta_keyword,meta_description,created_at,updated_at
1,,Office Equipment,,,,link,,https://www.revglue.com/resources/common/banner/,link,,https://www.revglue.com/resources/common/banner/,1,,,,,2021-03-31 17:53:03,2022-06-10 15:37:51
2,,Home,,,,link,,https://www.revglue.com/resources/common/banner/,link,,https://www.revglue.com/resources/common/banner/,1,,,,,2021-03-31 17:53:03,2022-06-10 15:37:51
3,,Restaurants,,,,link,,https://www.revglue.com/resources/common/banner/,link,,https://www.revglue.com/resources/common/banner/,1,,,,,2021-03-31 17:53:03,2022-06-10 15:37:51
4,0,Financial Services ,,"For  your insurance, accountancy, estate planning and general finance related needs, earn cashback from a range of Black-owned service providers.",,link,,https://www.revglue.com/resources/common/banner/KNNI8xGo5lD3XdSq_insurance-banner.png,link,,https://www.revglue.com/resources/common/banner/0xN7lUhFlpmaZDBO_insurance-banner.jpg,1,,,,"For  your insurance, accountancy, estate planning and general finance related needs, earn cashback from a range of Black-owned service providers.",2021-03-31 17:53:03,2022-06-10 15:37:51
5,4,Car Insurance,,Car Insurance,,link,,https://www.revglue.com/resources/common/banner/Q8l1ZSaIcnpNb5GW_car-insurance-banner.png,link,,https://www.revglue.com/resources/common/banner/aGXeyApApaTUUPkr_car-insurance-banner.jpg,1,,,,Car Insurance,2021-03-31 17:53:03,2022-06-10 15:37:51
6,4,Breakdown Cover,,Breakdown Cover,,link,,https://www.revglue.com/resources/common/banner/smdqloKJ8zDfsQyN_breakdown-cover-banner.png,link,,https://www.revglue.com/resources/common/banner/cjjXae5oHdAJ4AG4_breakdown-cover-banner.jpg,1,,,,Breakdown Cover,2021-03-31 17:53:03,2022-06-10 15:37:51
7,4,Cycle Insurance,,Cycle Insurance,,link,,https://www.revglue.com/resources/common/banner/VS5ILAnJaQBQOlPa_cycle-insurance-banner.png,link,,https://www.revglue.com/resources/common/banner/Twp8rmg24MIDjhQl_cycle-insurance-banner.jpg,1,,,,Cycle Insurance,2021-03-31 17:53:03,2022-06-10 15:37:51
8,4,Gadgets Insurance ,,Gadgets Insurance ,,link,,https://www.revglue.com/resources/common/banner/0zMntAdCTB4M6w9I_gadget-insurance-banner.png,link,,https://www.revglue.com/resources/common/banner/gcvznli4CBy62asz_gadgets-insurance-banner.jpg,1,,,,Gadgets Insurance ,2021-03-31 17:53:03,2022-06-10 15:37:51
9,4,Home Insurance,,Home Insurance,,link,,https://www.revglue.com/resources/common/banner/rS18lOja03AoiEbj_home-insurance-banner.png,link,,https://www.revglue.com/resources/common/banner/x40PLES95MfwnePa_home-insurance-banner.jpg,1,,,,Home Insurance,2021-03-31 17:53:03,2022-06-10 15:37:51
10,4,Life Insurance,,Life Insurance,,link,,https://www.revglue.com/resources/common/banner/A1aYCiMgV4OUkIaV_life-insurance-banner.png,link,,https://www.revglue.com/resources/common/banner/VWt82KSPG0XfDd4q_life-insurance-banner.jpg,0,,,,Life Insurance,2021-03-31 17:53:03,2022-06-10 15:37:51
11,4,Travel Insurance ,,Travel Insurance ,,link,,https://www.revglue.com/resources/common/banner/Z7z5qedXJYkPDNgj_travel-insurance-banner.png,link,,https://www.revglue.com/resources/common/banner/e1hhlc8iG8BwIX63_travel-insurance-banner.jpg,1,,,,Travel Insurance ,2021-03-31 17:53:03,2022-06-10 15:37:51
12,4,Health Insurance,,Health Insurance,,link,,https://www.revglue.com/resources/common/banner/6W8q5rWVI8iyjQ6Q_health-insurance-banner.png,link,,https://www.revglue.com/resources/common/banner/cd77XLGgHC5q8Myq_health-insurance-banner.jpg,1,,,,Health Insurance,2021-03-31 17:53:03,2022-06-10 15:37:51
13,4,Pet Insurance ,,Pet Insurance ,,link,,https://www.revglue.com/resources/common/banner/Mit1K6NQTuuAhSM9_pet-insurance-banner.png,link,,https://www.revglue.com/resources/common/banner/eyl8tw40naLUEzLj_pet-insurance-banner.jpg,1,,,,Pet Insurance ,2021-03-31 17:53:03,2022-06-10 15:37:51
14,4,Business Insurance ,,Business Insurance ,,link,,https://www.revglue.com/resources/common/banner/giVw84OJp96x3j3A_business-insurance-banner.png,link,,https://www.revglue.com/resources/common/banner/ykQg4wJhP1vSgA6F_business-insurance-banner.jpg,1,,,,Business Insurance ,2021-03-31 17:53:03,2022-06-10 15:37:51
15,0,Electronics & Software,,Electronics & Software,,link,,https://www.revglue.com/resources/common/banner/3n0Q0pBvbrApvwxU_electronics-banner.png,link,,https://www.revglue.com/resources/common/banner/fzq0j576YLS42O4w_electronics-banner.jpg,1,,,,Electronics & Software,2021-03-31 17:53:03,2022-06-10 15:37:51
16,15,Cameras & Accessories,,Cameras & Accessories,,link,,https://www.revglue.com/resources/common/banner/ZFiDCYzSy5X54v7f_cameras-banner.png,link,,https://www.revglue.com/resources/common/banner/3gSfZpPfEQYwlcyv_cameras-banner.jpg,1,,,,Cameras & Accessories,2021-03-31 17:53:03,2022-06-10 15:37:51
17,15,Computer Hardware & Accessories,,Computer Hardware & Accessories,,link,,https://www.revglue.com/resources/common/banner/Nd86snSU8J4MmNJL_computers-banner.png,link,,https://www.revglue.com/resources/common/banner/ivTm99bvCjIgttgs_computers-banner.jpg,1,,,,Computer Hardware & Accessories,2021-03-31 17:53:03,2022-06-10 15:37:51
18,15,Gaming,,Gaming,,link,,https://www.revglue.com/resources/common/banner/2Ti1imZ0HX1GTXCU_gaming-banner.png,link,,https://www.revglue.com/resources/common/banner/V5EvDlbCCnxWmY9A_gaming-banner.jpg,1,,,,Gaming,2021-03-31 17:53:03,2022-06-10 15:37:51
19,15,"Laptops, PCs & Macs",,"Laptops, PCs & Macs",,link,,https://www.revglue.com/resources/common/banner/r7VBRMqrwGpp0fvw_laptop-banner.png,link,,https://www.revglue.com/resources/common/banner/nVgkEVx0YG9m9HYw_laptops-banner.jpg,1,,,,"Laptops, PCs & Macs",2021-03-31 17:53:03,2022-06-10 15:37:51
