id,title,country,charity_types_id,logo_type,logo_upload,banner_link,banner_type,banner_upload,banner_link,description,status,created_at,updated_at"
7,Islamic Human Rights Commission,4,3,upload,resources/upload/images/68514981421094679641620564831.png,NULL,upload,resources/upload/images/13128121021246348881620564927.png,NULL,,0,2021-04-09 13:55:29,2021-04-09 13:55:29
11,Muslim Hands,4,2,upload,resources/upload/images/19177727799744878281620565972.png,NULL,upload,resources/upload/images/69452101413882402641620566207.png,NULL,,0,2021-04-09 14:16:49,2021-04-09 14:16:49
12,Penny Appeal,4,2,upload,resources/upload/images/195121325016149572021620566481.png,NULL,upload,resources/upload/images/147635186416448339851620566652.png,NULL,,0,2021-04-09 14:24:14,2021-04-09 14:24:14
13,Ramadan Tent Project,4,3,upload,resources/upload/images/5306123403872133621620566795.png,NULL,upload,resources/upload/images/1676002133398103861620566849.png,NULL,,0,2021-04-09 14:27:30,2021-04-09 14:27:30
14,Ummah Welfare Trust,4,2,upload,resources/upload/images/1617089807692302601620567204.png,NULL,upload,resources/upload/images/12614580746239980381620567217.png,NULL,,0,2021-04-09 14:33:38,2021-04-09 14:33:38
15,Karima Foundation,4,2,upload,resources/upload/images/183704515914860570081620569007.png,NULL,upload,resources/upload/images/18199094709555863841620569559.png,NULL,,0,2021-04-09 15:12:41,2021-04-09 15:12:41
16,Discover Islam,4,2,upload,resources/upload/images/17385174074551728861620570066.png,NULL,upload,resources/upload/images/4560224753801796781620570834.png,NULL,,0,2021-04-09 15:34:03,2021-04-09 15:34:03
17,Empowering Education,4,5,upload,resources/upload/images/178562240021086767391620570983.png,NULL,upload,resources/upload/images/74615067819228971521620571041.png,NULL,,0,2021-04-09 15:37:31,2021-04-09 15:37:31
18,Abrahamic Foundation Community Outreach,4,2,upload,resources/upload/images/142525007012466853931620571209.png,NULL,upload,resources/upload/images/17841656187115517251620571408.png,NULL,,0,2021-04-09 15:43:37,2021-04-09 15:43:37
19,As-Suffa Outreach,4,2,upload,resources/upload/images/107834204513904180471620571521.png,NULL,upload,resources/upload/images/177195921916373136891620571637.png,NULL,,0,2021-04-09 15:47:18,2021-04-09 15:47:18
20,Bahu Trust,4,2,upload,resources/upload/images/195683670919758218711620571754.png,NULL,upload,resources/upload/images/203601592317891776721620572705.png,NULL,,0,2021-04-09 16:05:07,2021-04-09 16:05:07
21,Birmingham MAB Youth,4,0,upload,resources/upload/images/27997408021171827311620573542.png,NULL,upload,resources/upload/images/37676336410370821101620573696.png,NULL,,0,2021-04-09 16:21:38,2021-04-09 16:21:38
22,Homeless One,4,3,upload,resources/upload/images/4897978544389472631620573844.png,NULL,upload,resources/upload/images/33329916912860782361620574093.png,NULL,,0,2021-04-09 16:28:14,2021-04-09 16:28:14
23,Green Lane Masjid,4,4,upload,resources/upload/images/7597647315244276851620574750.png,NULL,upload,resources/upload/images/27225331916909145051620574811.png,NULL,,0,2021-04-09 16:40:12,2021-04-09 16:40:12
24,Islamic Help,4,2,upload,resources/upload/images/40012506120146496001620574911.png,NULL,upload,resources/upload/images/11261362231023760951620575107.png,NULL,,0,2021-04-09 16:45:09,2021-04-09 16:45:09
25,Kebire Trust ,4,2,upload,resources/upload/images/5600427917353808941620575206.png,NULL,upload,resources/upload/images/184520368811262173081620575350.png,NULL,,0,2021-04-09 16:49:12,2021-04-09 16:49:12
26,The Muath Trust,4,2,upload,resources/upload/images/1225968664055796131620575554.png,NULL,upload,resources/upload/images/71666664314071365571620575751.png,NULL,,0,2021-04-09 16:56:02,2021-04-09 16:56:02
27,Al-Ikhlas Centre,4,4,upload,resources/upload/images/3890760433535252841620799973.png,NULL,upload,resources/upload/images/143108093214489470161620799977.png,NULL,,0,2021-04-12 07:13:01,2021-04-12 07:13:01
28,Taught By Muhammad,4,2,upload,resources/upload/images/95617850316758703461620801562.png,NULL,upload,resources/upload/images/198708497614395690281620801698.png,NULL,,0,2021-04-12 07:41:39,2021-04-12 07:41:39
29,World Care Foundation ,4,2,upload,resources/upload/images/165672474018602281621620801819.png,NULL,upload,resources/upload/images/30239615513042348891620801951.png,NULL,,0,2021-04-12 07:45:54,2021-04-12 07:45:54
30,Glasgow Central Mosque,4,4,upload,resources/upload/images/5862872736048012001620803528.png,NULL,upload,resources/upload/images/8862029964658814731620803625.png,NULL,,0,2021-04-12 08:13:47,2021-04-12 08:13:47
31,Masjid Al Furqan,4,4,upload,resources/upload/images/20155985638947022291620804070.png,NULL,upload,resources/upload/images/12850073762876204901620804072.png,NULL,,0,2021-04-12 08:21:18,2021-04-12 08:21:18
32,Barakah Food Aid,4,3,upload,resources/upload/images/146368278116002204361620805498.png,NULL,upload,resources/upload/images/127187042811646200071620805495.png,NULL,,0,2021-04-12 08:45:14,2021-04-12 08:45:14
33,Bolton Council of Mosques,4,7,upload,resources/upload/images/12068176015200075231620805944.png,NULL,upload,resources/upload/images/18378147545302256321620805935.png,NULL,,0,2021-04-12 08:52:41,2021-04-12 08:52:41
34,Bury 1 Women’s Centre,4,2,upload,resources/upload/images/130914229716900300561620806460.png,NULL,upload,resources/upload/images/16769261127064200721620806464.png,NULL,,0,2021-04-12 09:01:05,2021-04-12 09:01:05
35,Homeless Aid UK,4,0,upload,resources/upload/images/7867167362837554081620815461.png,NULL,upload,resources/upload/images/37254970317203267451620815556.png,NULL,,0,2021-04-12 11:32:38,2021-04-12 11:32:38
36,Manchester Islamic Centre,4,0,upload,resources/upload/images/85127519218475631620815770.png,NULL,upload,resources/upload/images/61335649610173480451620815962.png,NULL,,0,2021-04-12 11:39:27,2021-04-12 11:39:27
37,Planet Mercy,4,2,upload,resources/upload/images/10354227838219608411620816214.png,NULL,upload,resources/upload/images/1198324720598219321620816318.png,NULL,,0,2021-04-12 11:45:19,2021-04-12 11:45:19
38,The Myriad Foundation,4,2,upload,resources/upload/images/6605446534724622591620816632.png,NULL,upload,resources/upload/images/168122353612542471911620816758.png,NULL,,0,2021-04-12 11:52:39,2021-04-12 11:52:39
39,Abu Faisal Trust,4,2,upload,resources/upload/images/147376047320686055831620816993.png,NULL,upload,resources/upload/images/8420345026082516651620817052.png,NULL,,0,2021-04-12 11:57:34,2021-04-12 11:57:34
40,Benefit Mankind,4,2,upload,resources/upload/images/90208603718541155241620835909.jpg,NULL,upload,resources/upload/images/18807762134556297211620817495.png,NULL,,0,2021-04-12 12:05:00,2021-04-12 12:05:00
41,Madrasah Zeenatul Quran,4,4,upload,resources/upload/images/3558711825719369391620907754.png,NULL,upload,resources/upload/images/2612092298728245421620907759.png,NULL,,0,2021-04-13 10:56:13,2021-04-13 10:56:13
