id,name,description,click_ref,deeplink_identifier,logo,created_at,updated_at
10,Local Stores Ecommerce,Local Stores Ecommerce,,,,2021-05-26 14:30:45,2021-05-26 14:30:45
12,Awin,Awin,&clickref=,&p=,awin-logo.svg,2022-03-10 15:32:57,2022-03-10 15:32:57
13,Commission Junction - USD,Commission Junction - USD,?sid=,&url=,,2022-03-10 15:35:04,2022-03-10 15:35:04
14,Impact,Impact,?subId1=,&u=,impact-logo.png,2022-03-10 15:35:46,2022-03-10 15:35:46
15,Partnerize,Partnerize,&subId=,&u=,/partnerize-logo.png,2022-03-10 15:36:32,2022-03-10 15:36:32
16,Afrofiliate,Afrofiliate,?sub1=,&url=,afrofiliate-logo.jpeg,2022-09-20 14:49:42,2022-09-20 14:49:42
17,Webgains,Webgains,?subId=,&p=,webgains.png,2022-11-16 17:55:50,2022-11-16 17:55:50
18,CJ,CJ Affiliate Network,?ref=,&u=,cj-logo.svg,2022-11-16 17:55:50,2022-11-16 17:55:50
19,Tradedoubler,Tradedoubler,&epi=,&url=,tradedoubler.jpeg,2022-11-16 17:55:50,2022-11-16 17:55:50
20,Share A Sale,Share A Sale,&afftrack=,,share-a-sale-logo.png,2024-5-28 09:00:00,2024-5-28 09:00:00
