id,title,slug,type,status,content,excerpt,meta_description,meta_keyword,banner_image,description
1,Home Page Before Login,/home-page-before-login,system,active,"<!-- wp:paragraph --><p>[home-page-after-login-slider]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[home-page-hero]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[home-page-stats-quick-view]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[home-page-site-features]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[home-page-before-login-slider]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[home-page-featured-stores]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[home-page-mobile-app-panel]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[home-page-afrobot-panel]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[home-page-cashout-methods]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[home-page-charities]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[home-page-faqs]</p><!-- /wp:paragraph -->",,,,,Cashback is here to support you supporting Black-owned businesses.
2,Stores,stores,system,active,"<!-- wp:paragraph --><p>[page-banner]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[stores-list]</p><!-- /wp:paragraph -->",,,,,Cashback is here to support you supporting Black-owned businesses.
3,Categories,categories,system,active,"<!-- wp:paragraph --><p>[page-banner]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[categories-list]</p><!-- /wp:paragraph -->",,,,,Cashback is here to support you supporting Black-owned businesses.
4,Vouchers,vouchers,system,active,"<!-- wp:paragraph --><p>[page-banner]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[vouchers-list]</p><!-- /wp:paragraph -->",,,,,Cashback is here to support you supporting Black-owned businesses.
5,Donate to Charity,charities,system,active,"<!-- wp:paragraph --><p>[page-banner]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[charities-list]</p><!-- /wp:paragraph -->",,,,,Cashback is here to support you supporting Black-owned businesses.
6,What is Cashblack?,about-us ,special,active,"<!-- wp:paragraph --><p>[page-banner]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[about-us-default-text]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[cashblack-support-video]</p><!-- /wp:paragraph -->",,,,,Cashblack is here to support you supporting Black-owned businesses.
7,FAQs,faqs,special,active,"<!-- wp:paragraph --><p>[page-banner]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[home-page-faqs]</p><!-- /wp:paragraph -->",,,,,Cashblack is here to support you supporting Black-owned businesses.
8,Blogs,blogs,system,active,"<!-- wp:paragraph --><p>[page-banner]</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>[blog-list]</p><!-- /wp:paragraph -->",,,,,Cashblack is here to support you supporting Black-owned businesses.
9,Mobile App,apps,special,active,"<!-- wp:paragraph --><p>[page-banner]</p><!-- /wp:paragraph -->",,,,,Cashblack is here to support you supporting Black-owned businesses.
10,Cashblack A.F.R.O.B.O.T,extensions,special,active,"<!-- wp:paragraph --><p>[page-banner]</p><!-- /wp:paragraph -->",,,,,Cashblack is here to support you supporting Black-owned businesses.
11,Contact Us,contact,system,active,"<!-- wp:paragraph --><p>[page-banner]</p><!-- /wp:paragraph --><div class="container"><div class="row"><div class="col-md-6 pe-sm-0 pt-5"></div><div class="col-md-6 pe-sm-0">[contact-form]</div></div></div>",,,,,Cashback is here to support you supporting Black-owned businesses.
12,Work With Us,work-with-us,special,active,"<!-- wp:paragraph --><p>[page-banner]</p><!-- /wp:paragraph -->",,,,,Cashblack is here to support you supporting Black-owned businesses.
13,Media Enquiries,media-enquiries,special,active,"<!-- wp:paragraph --><p>[page-banner]</p><!-- /wp:paragraph -->",,,,,Cashblack is here to support you supporting Black-owned businesses.
14,Terms & Conditions,terms-conditions,special,active,"<!-- wp:paragraph --><p>[page-banner]</p><!-- /wp:paragraph -->",,,,,Cashblack is here to support you supporting Black-owned businesses.
15,Privacy Policy,privacy-policy,special,active,"<!-- wp:paragraph --><p>[page-banner]</p><!-- /wp:paragraph -->",,,,,Cashblack is here to support you supporting Black-owned businesses.
