id,seo_rule_id,type,key,value,created_at,updated_at
1,1,meta,meta_description,Get cashback at top stores,2020-07-01 12:16:56,2020-07-01 12:16:56
2,2,meta,meta_description,Cashback Report,2020-07-06 06:55:33,2020-07-06 06:55:33
3,3,meta,meta_description,All Categories,2020-07-06 07:16:50,2020-07-06 07:16:50
4,4,meta,meta_description,All Blogs,2020-07-06 07:17:22,2020-07-06 07:17:22
5,5,meta,meta_description,FAQs,2020-07-06 07:17:40,2020-07-06 07:17:40
6,6,meta,meta_description,Search Merchants,2020-07-06 07:18:48,2020-07-06 07:18:48
7,1,meta,meta_keyword,Get cashback at top stores,2020-07-01 12:16:56,2020-07-01 12:16:56
8,2,meta,meta_keyword,Cashback Report,2020-07-06 06:55:33,2020-07-06 06:55:33
9,3,meta,meta_keyword,All Categories,2020-07-06 07:16:50,2020-07-06 07:16:50
10,4,meta,meta_keyword,All Blogs,2020-07-06 07:17:22,2020-07-06 07:17:22
11,5,meta,meta_keyword,FAQs,2020-07-06 07:17:40,2020-07-06 07:17:40
12,6,meta,meta_keyword,Search Merchants,2020-07-06 07:18:48,2020-07-06 07:18:48
