id,title,type,value,category,default
1,Cashblack Percentage,cashback_percentage,50,general,1
2,Store Title,store_title,Cashblack,general,1
3,Phone Number,phone_number,123456789,general,1
4,Email,email,support@trs.com,general,1
5,Meta Description Coupons,meta_description_coupons,Get the best deals with online shopping coupons and discount voucher codes. Take advantage of our discounts to save while you shop!,general,1
6,Meta Title Coupons,meta_title_coupons,Online Shopping Coupons | Discount Voucher Codes,general,1
7,Meta Description Stores,meta_description_stores,Come shop with us and earn cash back on purchases. Visit our stores today for a great selection of products.,general,1
8,Meta Title Stores,meta_title_stores,Earn Cashback in Store | Earn Cashback on Purchases,general,1
9,Paypal Email,paypal_email,paypal@trs.com,general,1
10,Info Email,info_email,info@trs.com,general,1
11,Company Rights,company_rights,© 2024 Cashblack.,general,1
12,Sign Up Email,sign_up_email,info@trs.com,general,1
13,Currency,currency,2,general,1
14,Footer Text,footer_text,© 2024 Cashblack.,general,1
15,Meta Title,meta_title,Cashblack Websites | Earn Cashback for Online Shopping,general,1
16,Contact Us Email,contact_us_email,contact@trs.com,general,1
17,Website Title,website_title,Cashblack,general,1
18,Mail Driver,mail_driver,smtp,general,1
19,Mail Host,mail_host,smtp.sendgrid.net,general,1
20,Mail Port,mail_port,587,general,1
21,Mail Username,mail_username,apikey,general,1
22,Mail Password,mail_password,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,general,1
23,Mail Encryption,mail_encryption,TLS,general,1
24,Mail Email,mail_email,noreply@cashblack.com,general,1
25,Mail Name,mail_name,Cashblack Support,general,1
26,Dashboard Logo,dashboard_logo,default.png,general,1
27,Website Logo,website_logo,cashblack-default.png,general,1
28,Favicon,favicon,cashblack-default.png,general,1
29,Theme Color,theme_color,NULL,general,1
30,Theme Skin,theme_skin,blue,general,1
31,Dashboard Menu Type,dashboard_menu_type,top,general,1
32,Payment Method Paypal,payment_method_paypal,1,general,1
33,Payment Method Bank,payment_method_bank,1,general,1
34,Min Cashout Amount,min_cashout_amount,1,general,1
35,Welcome Bonus,welcome_bonus,2,general,1
36,Facebook client id,facebook_client_id,3200039003655128,general,1
37,Facebook client Secret,facebook_client_secret,74f27da5a9219d4e98a072b2cda3a465,general,1
38,Facebook Url,facebook_url,/login/facebook/callback,general,1
39,Google Client Id,google_client_id,7625208194-mukofel1nlmurbguafeffdbh91amothm.apps.googleusercontent.com,general,1
