id,store_id,type,cashback_name,image,click_url,sale_commission,cashback,currency,detail,network_detail,deeplink_url,tracking_url,network_id,value,default,is_api,created_at,updated_at
1,3038,percentage,"On Successful Sale","",,9,,,"On Successful Sale",,,"",,,1,no,2021-04-09 14:39:26,2021-06-22 10:52:50
2,3039,percentage,"On Successful Sale","",,13.5,,,"On Successful Sale",,,"",,,1,no,2021-04-09 14:41:36,2021-06-22 10:52:50
3,3040,percentage,"On Successful Sale","",,7.2,,,"On Successful Sale",,,"",,,1,no,2021-04-09 14:41:36,2021-06-22 10:52:50
4,3031,percentage,"On New Customer","",,4.5,,,"On New Customer",,,"",,,1,no,2021-04-09 14:41:36,2021-06-22 10:52:50
5,3031,percentage,"On Other Successful Sale","",,1.8,,,"On Other Successful Sale",,,"",,,1,no,2021-04-09 14:41:36,2021-06-22 10:52:50
6,3032,percentage,"On Successful Sale","",,6.3,,,"On Successful Sale",,,"",,,1,no,2021-04-09 14:41:36,2022-06-10 15:37:51
7,3033,percentage,"On Successful Sale","",,9,,,"On Successful Sale",,,"",,,1,no,2021-04-09 14:41:36,2021-06-22 10:52:50
8,3034,percentage,"On Successful Sale","",,6.3,,,"On Successful Sale",,,"",,,1,no,2021-04-09 14:41:36,2022-06-10 15:37:51
9,1,percentage,"On Successful Sale","",,3.6,,,"On Successful Sale",,,"",,,1,no,2021-04-09 14:41:36,2022-06-10 15:37:51
10,3035,percentage,"On Successful Sale","",,1.8,,,"On Successful Sale",,,"",,,1,no,2021-04-09 14:41:36,2021-06-22 10:52:50
11,2,percentage,"On Successful Sale","",,7.2,,,"On Successful Sale",,,"",,,1,no,2021-04-09 14:41:36,2022-06-10 15:37:51
12,3,percentage,"On Successful Sale","",,45,,,"On Successful Sale",,,"",,,1,no,2021-04-09 14:41:36,2021-06-22 10:52:50
13,4,percentage,"On Successful Sale","",,9,,,"On Successful Sale",,,"",,,1,no,2021-04-09 14:41:36,2022-06-10 15:37:51
14,3041,fixed,"On Successful Sale","",,4.5,,,"On Successful Sale",,,"",,,1,no,2021-04-09 14:41:36,2022-06-10 15:37:51
15,5,percentage,"On Successful Sale","",,6.3,,,"On Successful Sale",,,"",,,1,no,2021-04-09 14:41:36,2022-06-10 15:37:51
16,6,percentage,"On Successful Sale","",,7.2,,,"On Successful Sale",,,"",,,1,no,2021-04-09 14:41:36,2022-06-10 15:37:51
17,7,percentage,"On Successful Sale","",,9,,,"On Successful Sale",,,"",,,1,no,2021-04-09 14:41:36,2021-06-22 10:52:50
