id,store_id,user_id,cashout_id,exit_click_id,network_order_id,network_commission_id,details,click_date,event_date,network_commission,order_value,amount,status,type,created_at,updated_at,deleted_at
1,1173,195,13,2425,1,,,2021-03-18 17:47:12,2021-03-18 17:47:12,50,50,10,4,cashback,2021-03-18 17:47:12,2021-03-18 17:47:12,
2,2144,195,11,2424,1,,,2021-03-18 18:34:20,2021-03-18 18:34:20,80,500,16,4,cashback,2021-03-18 18:34:20,2021-03-18 18:34:20,
4,17,195,12,2435,1,,,2021-03-19 18:29:48,2021-03-19 18:29:48,60,500,18,4,cashback,2021-03-19 18:29:48,2021-03-19 18:29:48,
5,18,195,13,2436,1,,,2021-04-11 10:48:42,2021-04-11 10:48:42,100,100,90,4,cashback,2021-04-11 10:48:42,2021-04-11 10:48:42,
6,3042,194,,2466,1,,,2021-06-16 11:13:27,2021-06-16 11:13:27,200,400,80,1,cashback,2021-06-16 11:13:27,2021-06-16 11:13:27,
7,2,195,,2476,1,,,2021-06-16 11:13:27,2021-06-16 11:13:27,50,500,20,1,cashback,2021-06-16 11:13:27,2021-06-16 11:13:27,
9,29,195,,2479,1,,,2021-06-16 11:13:27,2021-06-16 11:13:27,10,100,4,1,cashback,2021-06-16 11:13:27,2021-06-16 11:13:27,
10,3051,195,,2491,1,,,2021-06-16 11:13:27,2021-06-16 11:13:27,50,100,20,1,cashback,2021-06-16 11:13:27,2021-06-16 11:13:27,
11,2193,213,,2490,1,,,2021-06-16 11:13:27,2021-06-16 11:13:27,2.21,36.76,0.88,1,cashback,2021-06-16 11:13:27,2021-06-16 11:13:27,
12,3039,195,,2493,1,,,2021-06-16 11:13:27,2021-06-16 11:13:27,50,1000,20,1,cashback,2021-06-16 11:13:27,2021-06-16 11:13:27,
13,,236,,,,,,2021-06-07 12:16:26,2021-06-07 12:16:26,,,,1,cashback,2021-06-07 12:16:26,2021-06-07 12:16:26,
14,,238,,,,,,2021-06-09 11:19:06,2021-06-09 11:19:06,,,,1,cashback,2021-06-09 11:19:06,2021-06-09 11:19:06,
15,2779,227,,2540,1,,,2021-06-16 11:13:27,2021-06-16 11:13:27,0.7,17.58,0.28,1,cashback,2021-06-16 11:13:27,2021-06-16 11:13:27,
16,3273,236,,2591,10,,,2021-07-01 11:52:11,2021-07-01 11:52:11,58,580,23.2,1,cashback,2021-07-01 11:52:11,2021-07-01 11:52:11,
17,3322,236,,2593,11,,,2021-07-01 12:04:29,2021-07-01 12:04:29,20,,8,5,cashback,2021-07-01 12:04:29,2021-07-01 12:04:29,
18,3322,236,,2594,11,,,2021-07-01 12:18:52,2021-07-01 12:18:52,20,,8,1,cashback,2021-07-01 12:18:52,2021-07-01 12:18:52,
19,3322,258,,2597,11,,,2021-07-01 16:26:13,2021-07-01 16:26:13,20,,8,1,cashback,2021-07-01 16:26:13,2021-07-01 16:26:13,
20,3322,258,,2598,11,,,2021-07-01 16:36:13,2021-07-01 16:36:13,20,,8,1,cashback,2021-07-01 16:36:13,2021-07-01 16:36:13,
